type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,7.3,0.18,0.29,1.2,0.044000000000000004,12.0,143.0,0.9918,3.2,0.48,11.3,3
1,7.4,0.4,0.29,5.4,0.044000000000000004,31.0,122.0,0.9940000000000001,3.3,0.5,11.1,4
1,7.1,0.26,0.31,2.2,0.044000000000000004,29.0,128.0,0.9937,3.34,0.64,10.9,4
1,6.3,0.39,0.24,6.9,0.069,9.0,117.0,0.9942,3.15,0.35,10.2,1
1,8.2,0.22,0.36,6.8,0.034,12.0,90.0,0.9944,3.01,0.38,10.5,4
1,7.9,0.2,0.34,1.2,0.04,29.0,118.0,0.9932,3.14,0.41,10.6,2
1,6.9,0.3,0.33,4.1,0.035,26.0,155.0,0.9925,3.25,0.79,12.3,4
1,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,1
1,9.2,0.28,0.49,11.8,0.042,29.0,137.0,0.998,3.1,0.34,10.1,1
1,9.8,0.25,0.74,10.0,0.055999999999999994,36.0,225.0,0.9977,3.06,0.43,10.0,1
1,7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.9923,3.0,0.31,10.1,1
1,7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.9958,3.14,0.38,11.8,3
1,8.0,0.44,0.49,9.1,0.031,46.0,151.0,0.9926,3.16,0.27,12.7,4
1,7.0,0.2,0.74,0.8,0.044000000000000004,19.0,163.0,0.9931,3.46,0.53,10.2,2
1,6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,1
1,7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1,1
1,8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,4
1,7.7,0.35,0.49,8.65,0.033,42.0,186.0,0.9931,3.14,0.38,12.4,4
1,8.3,0.2,0.49,1.7,0.04,34.0,169.0,0.9938,3.05,0.37,10.1,2
1,7.0,0.17,0.74,12.8,0.045,24.0,126.0,0.9942,3.26,0.38,12.2,4
1,9.2,0.18,0.49,1.5,0.040999999999999995,39.0,130.0,0.9945,3.04,0.49,9.8,3
1,7.3,0.22,0.49,9.9,0.031,48.0,161.0,0.9937,3.01,0.28,11.2,2
1,8.1,0.3,0.49,8.1,0.037000000000000005,26.0,174.0,0.9943,3.1,0.3,11.2,3
1,6.0,0.17,0.49,1.0,0.034,26.0,106.0,0.992,3.21,0.42,9.8,2
1,7.1,0.53,0.24,0.8,0.028999999999999998,29.0,86.0,0.993,3.16,0.32,9.1,1
1,6.2,0.43,0.49,6.4,0.045,12.0,115.0,0.9963,3.27,0.57,9.0,1
1,8.8,0.35,0.49,1.0,0.036000000000000004,14.0,56.0,0.992,2.96,0.33,10.5,1
1,8.5,0.19,0.49,3.5,0.044000000000000004,29.0,117.0,0.9938,3.14,0.51,10.1,2
1,8.5,0.17,0.49,8.8,0.048,23.0,108.0,0.9947,2.88,0.34,10.5,1
1,7.1,0.64,0.49,1.8,0.05,17.0,128.0,0.9946,3.31,0.58,10.6,1
1,7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53,9.0,1
1,7.1,0.26,0.49,2.2,0.032,31.0,113.0,0.9903,3.37,0.42,12.9,4
1,8.1,0.2,0.49,11.8,0.048,46.0,212.0,0.9968,3.09,0.46,10.0,3
1,8.0,0.29,0.49,11.7,0.035,40.0,131.0,0.9958,3.14,0.34,10.8,2
1,6.2,0.22,0.49,6.0,0.028999999999999998,31.0,128.0,0.9928,3.41,0.36,11.3,4
1,7.1,0.28,0.49,6.5,0.040999999999999995,28.0,111.0,0.9926,3.41,0.58,12.2,4
1,8.3,0.25,0.49,16.8,0.048,50.0,228.0,1.0001,3.03,0.52,9.2,2
1,7.3,0.19,0.49,15.55,0.057999999999999996,50.0,134.0,0.9998,3.42,0.36,9.1,3
1,7.5,0.24,0.49,9.4,0.048,50.0,149.0,0.9962,3.17,0.59,10.5,3
1,6.9,0.26,0.49,1.6,0.057999999999999996,39.0,166.0,0.9965,3.65,0.52,9.4,1
1,8.2,0.29,0.49,1.0,0.044000000000000004,29.0,118.0,0.9928,3.24,0.36,10.9,1
1,6.7,0.26,0.49,8.3,0.047,54.0,191.0,0.9954,3.23,0.4,10.3,2
1,6.7,0.21,0.49,1.4,0.047,30.0,114.0,0.9914,2.92,0.42,10.8,3
1,8.1,0.28,0.46,15.4,0.059000000000000004,32.0,177.0,1.0004,3.27,0.58,9.0,1
1,6.5,0.13,0.37,1.0,0.036000000000000004,48.0,114.0,0.9911,3.41,0.51,11.5,4
1,7.9,0.18,0.33,1.2,0.033,20.0,72.0,0.9922,3.12,0.38,10.5,3
1,7.0,0.35,0.3,6.5,0.027999999999999997,27.0,87.0,0.9936,3.4,0.42,11.4,3
1,6.6,0.26,0.31,4.8,0.138,41.0,168.0,0.9951,3.2,0.38,9.3,2
1,6.7,0.25,0.26,1.55,0.040999999999999995,118.5,216.0,0.9949,3.55,0.63,9.4,1
1,9.0,0.43,0.3,1.5,0.05,7.0,175.0,0.9951,3.11,0.45,9.7,1
1,8.5,0.32,0.36,14.9,0.040999999999999995,47.0,190.0,0.9982,3.08,0.31,10.0,2
1,6.5,0.27,0.19,4.2,0.046,6.0,114.0,0.9955,3.25,0.35,8.6,1
1,7.0,0.61,0.26,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,10.6,1
1,6.5,0.18,0.34,1.6,0.04,43.0,148.0,0.9912,3.32,0.59,11.5,4
1,9.3,0.2,0.33,1.7,0.05,28.0,178.0,0.9954,3.16,0.43,9.0,1
1,6.9,0.16,0.3,9.6,0.057,50.0,185.0,0.9978,3.39,0.38,9.6,2
1,8.4,0.29,0.29,1.05,0.032,4.0,55.0,0.9908,2.91,0.32,11.4,1
1,6.7,0.16,0.28,2.5,0.046,40.0,153.0,0.9921,3.38,0.51,11.4,3
1,7.4,0.23,0.25,1.4,0.049,43.0,141.0,0.9934,3.42,0.54,10.2,3
1,6.9,0.29,0.23,8.6,0.055999999999999994,56.0,215.0,0.9967,3.17,0.44,8.8,2
1,7.7,0.43,0.28,4.5,0.046,33.0,102.0,0.9918,3.16,0.56,12.2,3
1,6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69,11.0,4
1,6.1,0.32,0.37,1.8,0.051,13.0,200.0,0.9945,3.49,0.44,10.5,1
1,8.7,0.45,0.4,1.5,0.067,17.0,100.0,0.9957,3.27,0.57,10.1,2
1,7.8,0.2,0.24,1.6,0.026000000000000002,26.0,189.0,0.991,3.08,0.74,12.1,3
1,6.9,0.25,0.27,9.05,0.039,37.0,128.0,0.9936,3.27,0.34,11.3,4
1,7.6,0.3,0.22,10.2,0.049,57.0,191.0,0.9966,3.08,0.4,9.3,2
1,7.2,0.5,0.0,0.8,0.034,46.0,114.0,0.9932,3.19,0.34,9.2,1
1,7.2,0.24,0.29,2.2,0.037000000000000005,37.0,102.0,0.992,3.27,0.64,11.0,3
1,7.1,0.25,0.25,1.6,0.046,50.0,181.0,0.9925,3.2,0.42,11.0,3
1,6.4,0.18,0.31,1.6,0.049,36.0,127.0,0.9934,3.6,0.67,10.4,3
1,6.8,0.24,0.35,6.4,0.048,44.0,172.0,0.9944,3.29,0.55,10.5,3
1,10.0,0.91,0.42,1.6,0.055999999999999994,34.0,181.0,0.9968,3.11,0.46,10.0,1
1,7.4,0.21,0.27,7.3,0.031,41.0,144.0,0.9932,3.15,0.38,11.8,3
1,7.2,0.31,0.41,8.6,0.053,15.0,89.0,0.9976,3.29,0.64,9.9,2
1,7.9,0.37,0.3,2.7,0.028999999999999998,64.0,158.0,0.9916,3.12,0.59,12.0,3
1,8.3,0.23,0.3,2.1,0.049,21.0,153.0,0.9953,3.09,0.5,9.6,2
1,7.6,0.26,0.36,1.6,0.032,6.0,106.0,0.993,3.15,0.4,10.4,1
1,7.1,0.49,0.22,2.0,0.047,146.5,307.5,0.9924,3.24,0.37,11.0,1
1,6.3,0.25,0.44,11.6,0.040999999999999995,48.0,195.0,0.9968,3.18,0.52,9.5,2
1,9.9,1.005,0.46,1.4,0.046,34.0,185.0,0.9966,3.02,0.49,10.2,1
1,8.2,0.21,0.48,1.4,0.040999999999999995,11.0,99.0,0.9958,3.17,0.57,9.9,2
1,7.5,0.26,0.26,18.35,0.084,33.0,139.0,1.0011,3.17,0.39,8.8,2
1,6.8,0.27,0.35,7.8,0.048,76.0,197.0,0.9959,3.24,0.43,9.5,2
1,7.6,0.2,0.3,14.2,0.055999999999999994,53.0,212.5,0.9990000000000001,3.14,0.46,8.9,4
1,6.4,0.43,0.27,1.1,0.054000000000000006,5.0,110.0,0.9939,3.24,0.52,9.1,1
1,7.0,0.28,0.33,14.6,0.043,47.0,168.0,0.9994,3.34,0.67,8.8,2
1,8.0,0.4,0.33,7.7,0.034,27.0,98.0,0.9935,3.18,0.41,12.2,3
1,7.0,0.25,0.56,2.0,0.035,20.0,95.0,0.9918,3.23,0.53,11.0,2
1,9.5,0.42,0.41,2.3,0.034,22.0,145.0,0.9951,3.06,0.52,11.0,2
1,11.8,0.23,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,1
1,7.4,0.45,0.32,7.1,0.044000000000000004,17.0,117.0,0.9962,3.32,0.41,10.4,1
1,7.2,0.25,0.19,8.0,0.044000000000000004,51.0,172.0,0.9964,3.16,0.44,9.2,2
1,6.6,0.22,0.53,15.1,0.052000000000000005,22.0,136.0,0.9986,2.94,0.35,9.4,2
1,6.8,0.2,0.27,1.2,0.034,19.0,68.0,0.9902,3.14,0.37,11.7,1
1,8.0,0.16,0.36,1.5,0.033,14.0,122.0,0.9941,3.2,0.39,10.3,1
1,7.7,0.39,0.28,4.9,0.035,36.0,109.0,0.9918,3.19,0.58,12.2,3
1,9.1,0.33,0.38,1.7,0.062,50.5,344.0,0.9958,3.1,0.7,9.5,2
1,6.5,0.14,0.32,2.7,0.037000000000000005,18.0,89.0,0.9924,3.4,0.74,11.5,3
1,7.2,0.115,0.3,6.8,0.055999999999999994,26.0,105.0,0.9954,3.44,0.4,9.6,2
1,9.8,0.93,0.45,8.6,0.052000000000000005,34.0,187.0,0.9994,3.12,0.59,10.2,1
1,7.9,0.28,0.32,3.6,0.038,9.0,76.0,0.992,3.05,0.31,11.7,1
1,6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,3.3,0.34,12.2,1
1,6.8,0.37,0.28,4.0,0.03,29.0,79.0,0.99,3.23,0.46,12.4,3
1,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9944,3.18,0.47,9.4,2
1,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,3
1,7.6,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,2
1,6.5,0.39,0.81,1.2,0.217,14.0,74.0,0.9936,3.08,0.53,9.5,2
1,7.1,0.26,0.19,8.2,0.051,53.0,187.0,0.996,3.16,0.52,9.7,2
1,6.6,0.23,0.24,3.9,0.045,36.0,138.0,0.9922,3.15,0.64,11.3,3
1,7.4,0.24,0.26,1.6,0.057999999999999996,53.0,150.0,0.9936,3.18,0.5,9.9,3
1,7.6,0.23,0.26,15.3,0.067,32.0,166.0,0.9986,3.03,0.44,9.2,1
1,7.2,0.23,0.38,6.1,0.067,20.0,90.0,0.9949600000000001,3.17,0.79,9.7,2
1,6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,1
1,7.5,0.31,0.24,7.1,0.031,28.0,141.0,0.99397,3.16,0.38,10.6,3
1,6.7,0.25,0.26,13.5,0.06,50.0,156.0,0.99784,3.39,0.46,9.9,2
1,7.5,0.29,0.26,14.95,0.067,47.0,178.0,0.9983799999999999,3.04,0.49,9.2,1
1,6.3,0.16,0.22,1.3,0.046,18.0,66.0,0.9930700000000001,3.61,0.55,10.3,2
1,7.3,0.4,0.28,6.5,0.037000000000000005,26.0,97.0,0.9914799999999999,3.16,0.58,12.6,3
1,6.3,0.41,0.18,3.5,0.027000000000000003,23.0,109.0,0.99018,3.34,0.54,12.8,4
1,6.6,0.22,0.28,12.05,0.057999999999999996,25.0,125.0,0.99856,3.45,0.45,9.4,2
1,7.5,0.26,0.59,11.8,0.046,58.0,164.0,0.9981399999999999,3.17,0.46,8.9,1
1,6.9,0.3,0.21,7.2,0.045,54.0,190.0,0.99595,3.22,0.48,9.4,2
1,6.8,0.37,0.28,1.9,0.024,64.0,106.0,0.98993,3.45,0.6,12.6,4
1,6.5,0.28,0.35,9.8,0.067,61.0,180.0,0.9972,3.15,0.57,9.0,1
1,7.7,0.4,0.27,4.5,0.034,27.0,95.0,0.99175,3.21,0.59,12.3,4
1,7.7,0.28,0.63,11.1,0.039,58.0,179.0,0.9979,3.08,0.44,8.8,1
1,7.9,0.46,0.4,10.1,0.168,19.0,184.0,0.99782,3.06,0.62,9.5,2
1,7.0,0.18,0.26,1.4,0.044000000000000004,46.0,89.0,0.99256,3.39,0.48,10.7,3
1,6.7,0.24,0.26,12.6,0.053,44.0,182.0,0.99802,3.42,0.42,9.7,2
1,6.0,0.33,0.18,3.0,0.036000000000000004,5.0,85.0,0.99125,3.28,0.4,11.5,1
1,7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,1
1,6.4,0.27,0.19,2.0,0.084,21.0,191.0,0.99516,3.49,0.63,9.6,1
1,6.4,0.27,0.19,1.9,0.085,21.0,196.0,0.99516,3.49,0.64,9.5,1
1,6.9,0.15,0.28,4.4,0.028999999999999998,14.0,107.0,0.9934700000000001,3.24,0.46,10.4,4
1,6.9,0.3,0.29,1.3,0.053,24.0,189.0,0.9936200000000001,3.29,0.54,9.9,1
1,6.9,0.3,0.3,1.3,0.053,24.0,186.0,0.99361,3.29,0.54,9.9,1
1,7.6,0.21,0.35,1.2,0.040999999999999995,7.0,106.0,0.9914,3.06,0.45,11.3,1
1,6.8,0.46,0.26,2.7,0.042,28.0,83.0,0.9911399999999999,3.38,0.51,12.0,4
1,7.0,0.28,0.26,1.7,0.042,34.0,130.0,0.9925,3.43,0.5,10.7,4
1,9.2,0.19,0.42,2.0,0.047,16.0,104.0,0.9951700000000001,3.09,0.66,10.0,1
1,9.2,0.16,0.49,2.0,0.044000000000000004,18.0,107.0,0.9951399999999999,3.1,0.53,10.2,1
1,7.9,0.44,0.26,4.45,0.033,23.0,100.0,0.9911700000000001,3.17,0.52,12.7,2
1,7.1,0.21,0.28,2.7,0.034,23.0,111.0,0.99405,3.35,0.64,10.2,1
1,7.0,0.16,0.26,7.3,0.047,30.0,220.0,0.9962200000000001,3.38,0.58,10.1,2
1,6.3,0.38,0.17,8.8,0.08,50.0,212.0,0.99803,3.47,0.66,9.4,1
1,6.2,0.38,0.18,7.4,0.095,28.0,195.0,0.9977299999999999,3.53,0.71,9.2,1
1,7.2,0.24,0.29,3.0,0.036000000000000004,17.0,117.0,0.99411,3.36,0.68,10.1,2
1,6.3,0.29,0.14,7.05,0.045,50.0,177.0,0.99564,3.23,0.42,9.0,2
1,6.4,0.35,0.35,5.6,0.034,9.0,148.0,0.99441,3.17,0.5,9.8,1
1,7.3,0.19,0.27,1.6,0.027000000000000003,35.0,136.0,0.9924799999999999,3.38,0.54,11.0,3
1,6.1,0.27,0.31,1.5,0.035,17.0,83.0,0.9907600000000001,3.32,0.44,11.1,3
1,7.6,0.31,0.23,12.7,0.054000000000000006,20.0,139.0,0.99836,3.16,0.5,9.7,1
1,8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47,9.4,1
1,5.6,0.175,0.29,0.8,0.043,20.0,67.0,0.9911200000000001,3.28,0.48,9.9,2
1,6.9,0.34,0.3,4.7,0.028999999999999998,34.0,148.0,0.99165,3.36,0.49,12.3,3
1,7.3,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,4
1,6.7,0.54,0.27,7.1,0.049,8.0,178.0,0.9950200000000001,3.16,0.38,9.4,1
1,6.8,0.23,0.3,1.7,0.043,19.0,95.0,0.9920700000000001,3.17,0.46,10.7,3
1,5.9,0.28,0.14,8.6,0.032,30.0,142.0,0.9954200000000001,3.28,0.44,9.5,2
1,6.2,0.27,0.18,1.5,0.027999999999999997,20.0,111.0,0.9922799999999999,3.41,0.5,10.0,2
1,7.5,0.2,0.47,16.9,0.052000000000000005,51.0,188.0,0.99944,3.09,0.62,9.3,2
1,7.0,0.16,0.32,1.1,0.032,29.0,80.0,0.98972,3.23,0.36,12.1,2
1,6.3,0.34,0.36,4.9,0.035,31.0,185.0,0.9946,3.15,0.49,9.7,2
1,5.8,0.3,0.27,1.7,0.013999999999999999,45.0,104.0,0.9891399999999999,3.4,0.56,12.6,3
1,7.2,0.615,0.1,1.4,0.068,25.0,154.0,0.9949899999999999,3.2,0.48,9.7,1
1,6.9,0.13,0.28,13.3,0.05,47.0,132.0,0.99655,3.34,0.42,10.1,2
1,6.4,0.22,0.34,1.4,0.023,56.0,115.0,0.9895799999999999,3.18,0.7,11.7,2
1,6.8,0.11,0.42,1.1,0.042,51.0,132.0,0.99059,3.18,0.74,11.3,3
1,6.2,0.26,0.32,15.3,0.031,64.0,185.0,0.99835,3.31,0.61,9.4,2
1,6.7,0.3,0.29,2.8,0.025,37.0,107.0,0.99159,3.31,0.63,11.3,3
1,7.5,0.25,0.32,8.2,0.024,53.0,209.0,0.9956299999999999,3.12,0.46,10.8,2
1,8.0,0.24,0.26,1.7,0.033,36.0,136.0,0.99316,3.44,0.51,10.4,3
1,7.2,0.24,0.27,11.4,0.034,40.0,174.0,0.9977299999999999,3.2,0.44,9.0,2
1,7.1,0.23,0.24,5.4,0.039,60.0,196.0,0.9948,3.19,0.78,10.0,1
1,6.45,0.14,0.42,1.2,0.05,51.0,129.0,0.99116,3.27,0.69,11.1,3
1,6.5,0.15,0.44,12.6,0.052000000000000005,65.0,158.0,0.9968799999999999,3.26,0.7,10.3,3
1,6.7,0.33,0.34,6.6,0.067,35.0,156.0,0.9954200000000001,3.11,0.48,9.3,2
1,8.0,0.13,0.25,1.1,0.033,15.0,86.0,0.99044,2.98,0.39,11.2,4
1,6.6,0.12,0.25,1.4,0.039,21.0,131.0,0.9911399999999999,3.2,0.45,11.2,3
1,5.9,0.3,0.3,2.0,0.03,38.0,142.0,0.98892,3.41,0.41,12.9,3
1,7.0,0.16,0.36,2.6,0.028999999999999998,28.0,98.0,0.99126,3.11,0.37,11.2,3
1,7.8,0.25,0.34,13.7,0.044000000000000004,66.0,184.0,0.99976,3.22,0.75,8.9,2
1,6.8,0.16,0.29,10.4,0.046,59.0,143.0,0.99518,3.2,0.4,10.8,2
1,7.5,0.26,0.3,4.6,0.027000000000000003,29.0,92.0,0.99085,3.15,0.38,12.0,3
1,7.5,0.26,0.25,1.7,0.038,29.0,129.0,0.9931200000000001,3.45,0.56,10.4,2
1,6.5,0.29,0.31,1.7,0.035,24.0,79.0,0.9905299999999999,3.27,0.69,11.4,3
1,7.4,0.2,0.28,9.1,0.047,29.0,95.0,0.9953200000000001,3.16,0.47,9.8,3
1,6.7,0.44,0.22,4.3,0.032,19.0,99.0,0.99015,3.26,0.53,12.8,3
1,5.8,0.17,0.34,1.8,0.045,96.0,170.0,0.99035,3.38,0.9,11.8,4
1,5.8,0.315,0.27,1.55,0.026000000000000002,15.0,70.0,0.9899399999999999,3.37,0.4,11.9,4
1,6.0,0.26,0.15,1.3,0.06,51.0,154.0,0.99354,3.14,0.51,8.7,2
1,6.3,0.2,0.24,1.7,0.052000000000000005,36.0,135.0,0.99374,3.8,0.66,10.8,2
1,7.6,0.39,0.32,3.6,0.035,22.0,93.0,0.99144,3.08,0.6,12.5,3
1,7.0,0.36,0.32,10.05,0.045,37.0,131.0,0.9935200000000001,3.09,0.33,11.7,4
1,7.0,0.36,0.32,10.5,0.045,35.0,135.0,0.9935,3.09,0.33,11.6,4
1,6.4,0.22,0.32,7.2,0.027999999999999997,15.0,83.0,0.993,3.13,0.55,10.9,4
1,5.5,0.15,0.32,14.0,0.031,16.0,99.0,0.9943700000000001,3.26,0.38,11.5,4
1,6.0,0.11,0.47,10.6,0.052000000000000005,69.0,148.0,0.9958,2.91,0.34,9.3,1
1,6.3,0.25,0.22,3.3,0.048,41.0,161.0,0.99256,3.16,0.5,10.5,2
1,6.4,0.14,0.31,1.2,0.034,53.0,138.0,0.9908399999999999,3.38,0.35,11.5,3
1,6.2,0.15,0.27,1.4,0.040999999999999995,51.0,117.0,0.9909,3.28,0.38,11.2,2
1,6.9,0.15,0.29,2.3,0.033,14.0,82.0,0.9913200000000001,3.1,0.58,11.2,3
1,6.5,0.37,0.33,3.5,0.036000000000000004,23.0,92.0,0.99136,3.18,0.38,11.2,2
1,5.5,0.375,0.38,1.7,0.036000000000000004,17.0,98.0,0.9914200000000001,3.29,0.39,10.5,2
1,6.4,0.21,0.28,5.9,0.047,29.0,101.0,0.9927799999999999,3.15,0.4,11.0,2
1,6.9,0.33,0.26,5.0,0.027000000000000003,46.0,143.0,0.9924,3.25,0.43,11.2,3
1,5.6,0.18,0.58,1.25,0.034,29.0,129.0,0.9898399999999999,3.51,0.6,12.0,3
1,6.6,0.29,0.31,3.9,0.027000000000000003,39.0,96.0,0.99035,3.24,0.6,12.6,4
1,5.6,0.19,0.46,1.1,0.032,33.0,115.0,0.9909,3.36,0.5,10.4,2
1,6.7,0.48,0.32,1.4,0.021,22.0,121.0,0.9889,3.15,0.53,12.7,3
1,5.8,0.21,0.32,1.6,0.045,38.0,95.0,0.98946,3.23,0.94,12.4,4
1,7.2,0.21,0.28,2.7,0.033,38.0,94.0,0.99075,2.99,0.43,11.8,3
1,6.6,0.41,0.31,1.6,0.042,18.0,101.0,0.99195,3.13,0.41,10.5,2
1,8.5,0.22,0.34,0.7,0.04,5.0,25.0,0.9918,3.04,0.37,10.5,1
1,5.2,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34,12.4,4
1,6.2,0.16,0.34,1.7,0.038,85.0,153.0,0.9909,3.33,0.86,12.0,3
1,6.1,0.16,0.37,1.1,0.031,37.0,97.0,0.9922,3.4,0.58,10.5,2
1,5.7,0.28,0.28,2.2,0.019,15.0,65.0,0.9902,3.06,0.52,11.2,2
1,7.4,0.28,0.4,11.9,0.032,13.0,92.0,0.99629,3.01,0.46,10.8,1
1,6.5,0.44,0.47,5.45,0.013999999999999999,44.0,137.0,0.9898399999999999,3.13,0.32,13.0,4
1,5.2,0.155,0.33,1.6,0.027999999999999997,13.0,59.0,0.98975,3.3,0.84,11.9,4
1,5.6,0.21,0.4,1.3,0.040999999999999995,81.0,147.0,0.9901,3.22,0.95,11.6,4
